Character,Country,Popularity_Score,Avg_Episodes_Watched_Per_Year,Merchandise_Revenue_MillionUSD
Peppa Pig,Nigeria,29.735313251738738,59,62.48170478614271
Mr Bean,Canada,0.2675722602885733,81,4.231345682711504
Mr Bean,Saudi Arabia,42.51389661042116,87,27.29761469242338
Peppa Pig,Russia,94.26762407440408,68,60.20562954206926
Mr Bean,Saudi Arabia,76.47603800317762,78,75.87061421084316
Peppa Pig,Japan,32.10582559565716,25,69.67369372435982
Pokemon,UK,51.45962523291051,89,140.20697445969677
Pokemon,Egypt,88.08466173578056,8,183.8348851233436
Shinchan,UK,83.21431737689012,96,70.83575136265952
Tom and Jerry,Nigeria,6.981007960623053,87.0,78.98402317066513
Peppa Pig,China,33.24399557107493,53,32.855957672674705
Mickey Mouse,Mexico,82.0747551709555,68,40.49514213338844
Shinchan,China,15.436121877154886,38,69.57775526010133
Mickey Mouse,South Africa,6.8420747181551445,41,224.7896109211643
Pokemon,India,29.33677759652088,23,125.37936944574588
Mickey Mouse,Saudi Arabia,25.39773394135423,6,141.18021689101454
Peppa Pig,France,99.93735655001792,18,57.62034654272315
Mickey Mouse,USA,83.28388996731884,34,107.639323883089
Tom and Jerry,USA,57.957380536840276,24.0,33.34519344568703
SpongeBob SquarePants,Brazil,48.18478298737412,150.0,241.85706396553962
Mickey Mouse,Spain,26.445857835242382,52,202.68521681325092
Mr Bean,Egypt,64.76523806394415,64,30.916827278395772
Pokemon,Egypt,67.04862188501713,74,223.4538973852988
Mickey Mouse,Spain,23.61126382309957,92,270.80377509012243
Pokemon,UAE,33.3509156432516,77,249.45589765348836
Tom and Jerry,France,12.99921314434368,40.5,86.7783409621733
Doraemon,South Korea,47.62459654232502,105.0,45.748536570966465
Paw Patrol,India,40.161725451256046,67,44.91267060693786
Peppa Pig,Italy,29.489774594988983,60,70.47616243606055
Mr Bean,South Korea,41.59896502614953,59,26.23408985179514
Shinchan,Spain,58.646508273947695,47,41.67005465929366
Doraemon,Spain,15.473017585826144,27.0,56.07028213432836
Paw Patrol,UAE,60.899491555306525,93,18.861191124124588
Tom and Jerry,China,9.175768305444532,79.5,34.74870219516394
Shinchan,UAE,44.31129743303261,82,28.043517592112178
Peppa Pig,USA,5.478195851808099,32,76.65192868036353
Tom and Jerry,Nigeria,35.41671713596246,148.5,2.8554121219789246
Mickey Mouse,Italy,46.00969018938087,51,253.811854864965
Motu Patlu,Brazil,53.06048207726482,49,95.86411155071788
Tom and Jerry,Japan,49.411702501738866,118.5,92.49127158018028
SpongeBob SquarePants,Russia,59.141975683102096,21.0,137.21841751910262
Shinchan,Russia,73.89210454812405,78,32.83114952516241
SpongeBob SquarePants,Brazil,99.09860226468875,124.5,113.73703868409414
SpongeBob SquarePants,Mexico,65.65640864104779,36.0,176.07363583216662
Mickey Mouse,Japan,79.16619578635435,90,284.2912614525562
Paw Patrol,Brazil,76.61562076678196,22,30.283418063807556
Paw Patrol,UAE,16.22472120884505,84,17.38837740866181
Pokemon,Russia,96.55966371940364,29,284.2976605625045
Paw Patrol,Australia,25.000321158900707,52,11.156383443092526
Motu Patlu,South Korea,81.67032558555005,8,40.24894258155453
SpongeBob SquarePants,Italy,28.687939731326818,141.0,228.37582296538534
Mr Bean,UAE,28.810157803923055,11,64.25622148510823
Paw Patrol,Canada,0.1564335933398997,78,66.7727588724589
Paw Patrol,India,63.567079146863,37,36.352293774958554
Peppa Pig,USA,64.27956162027203,92,69.84353594761033
Pokemon,Australia,31.00758829368918,74,13.876369146461778
SpongeBob SquarePants,South Korea,89.46374949550533,42.0,150.7644475706073
Shinchan,Brazil,8.006891107499525,44,72.04862821985401
SpongeBob SquarePants,USA,36.33111306509823,136.5,12.248763869743778
Mr Bean,Mexico,15.343816339270811,52,76.54536270805937
Mr Bean,Brazil,56.167271075964706,38,22.242472116948253
Tom and Jerry,Russia,96.75612363630623,135.0,7.428968753291044
Tom and Jerry,UK,23.67361842868705,76.5,37.522205384620854
Motu Patlu,South Africa,82.33393995083907,45,45.54747507063661
Peppa Pig,South Korea,83.13908064675414,43,32.943414364301006
Shinchan,Egypt,61.4428278308198,87,94.21909179899099
Peppa Pig,Japan,57.67712314773791,78,64.26012802867817
Pokemon,Mexico,5.991303293466899,66,104.03719280047788
SpongeBob SquarePants,Spain,24.17378609364671,93.0,31.75306081048972
Tom and Jerry,Italy,99.59694110954167,66.0,9.914860409334649
Doraemon,South Africa,10.749708437120741,57.0,76.62181965203696
Paw Patrol,Russia,98.90907006207226,20,10.57146711644878
Tom and Jerry,Nigeria,71.35918463248066,106.5,61.01979171797661
Peppa Pig,Italy,48.98466520662591,65,37.46742317671119
Doraemon,Saudi Arabia,58.352327704763994,127.5,77.68600685354728
Shinchan,South Korea,41.03774093227051,65,73.84788985559946
Pokemon,Brazil,54.62732192448302,97,241.68480144377094
Motu Patlu,Germany,69.0239911563607,66,93.43633710230925
Mickey Mouse,Spain,29.045265199293556,96,277.4308606712945
Motu Patlu,China,23.928206594629607,72,24.05081942078932
Tom and Jerry,Brazil,87.83996215142282,45.0,29.43725871887506
Mr Bean,USA,88.22449731648332,9,40.30246285355167
Doraemon,UK,45.4349078156795,108.0,93.91748967234636
Tom and Jerry,Brazil,29.5024257658282,43.5,85.75850392307231
Shinchan,Italy,38.35743906760308,39,30.892638129469855
Doraemon,Brazil,89.51183698162541,66.0,64.23242119473895
Pokemon,UAE,91.27968882831043,90,229.2723071314188
Paw Patrol,Saudi Arabia,90.28881602398087,73,33.48364613647844
Shinchan,USA,45.6798475711876,64,31.50878683928197
Shinchan,Japan,89.42184453384515,65,41.47782664610558
Mickey Mouse,Russia,37.56455338019876,89,42.49797248169499
Tom and Jerry,India,46.300390119477996,88.5,82.51268330020265
Shinchan,UAE,1.564579636354957,17,45.19766555861163
Pokemon,USA,23.41615171416569,78,180.58154926034695
Paw Patrol,USA,73.52121093241696,91,50.06645796180908
SpongeBob SquarePants,Germany,47.35188204122199,64.5,45.872469502057996
Paw Patrol,Australia,44.9786825829248,73,19.85768022464309
Mr Bean,Egypt,90.70328275335156,6,19.812346065384723
Peppa Pig,Canada,38.066174437292254,50,36.60481718010334
SpongeBob SquarePants,South Korea,74.12523787164889,112.5,175.00544903310794
Mr Bean,Italy,96.65082672503436,67,73.54445146547687
Paw Patrol,Nigeria,94.51881112008982,5,84.4119269657095
SpongeBob SquarePants,UAE,1.5731766869219732,85.5,160.23704111197023
Mickey Mouse,UK,24.09688323135082,37,82.39544679296084
Mr Bean,Japan,75.95858501768447,53,48.12450491305722
SpongeBob SquarePants,UK,22.976649710101672,139.5,144.22358543064618
Peppa Pig,Italy,14.419156128357692,55,30.62841206850539
Paw Patrol,China,7.842769101852809,49,44.27173703150642
Mickey Mouse,France,22.813838985421654,53,204.8693728521832
Shinchan,China,10.655091771126113,44,76.37330262889621
Paw Patrol,Spain,78.44387242528074,6,39.39215637846098
Peppa Pig,Brazil,49.31239422107847,60,30.67547313823476
Pokemon,UK,39.56919784264058,53,100.87388973494029
Tom and Jerry,Australia,39.82395825440081,148.5,49.60972397631813
Mickey Mouse,Australia,68.17126331300877,98,213.38501422305086
Mickey Mouse,Germany,71.52363912994262,14,180.58635486165213
Mickey Mouse,Spain,59.381994335487754,18,198.30768844048737
Mickey Mouse,South Korea,22.200107954946336,76,173.84491328631657
Paw Patrol,South Africa,96.17278656799704,98,31.877144045856603
Pokemon,Japan,11.508526669878593,87,240.6148873479155
SpongeBob SquarePants,Canada,18.638692528366196,82.5,185.3897603994602
Mr Bean,Japan,53.688901057064406,30,26.97298614978373
Peppa Pig,Spain,81.37382542609338,43,59.426668132770395
SpongeBob SquarePants,South Korea,42.30387820732123,109.5,194.64224823874528
SpongeBob SquarePants,Spain,19.512849163424917,114.0,150.0060448163219
Shinchan,Canada,53.76086182048194,63,77.48221617807475
Paw Patrol,USA,21.854193501007344,99,75.38320397962354
Shinchan,Canada,68.91335871117624,83,17.43218015133566
SpongeBob SquarePants,Brazil,28.93332434649436,105.0,204.75189682922309
Motu Patlu,China,82.84818026986326,91,15.074991674461417
Shinchan,Spain,58.195554466898045,98,97.2428789018577
Mickey Mouse,Australia,28.359307600375374,21,147.145357490526
Pokemon,Brazil,110.91359211347259,21,92.65405479979741
Shinchan,Brazil,72.59883634704453,59,1267.5293915652796
Doraemon,UK,13.217515109256084,81.0,80.7897265489421
Tom and Jerry,Japan,65.0020213157807,145.5,75.07861480106442
Shinchan,Mexico,79.10766611980661,87,55.78626654668828
Motu Patlu,Australia,5.456913101525296,35,12.161622597777043
SpongeBob SquarePants,Saudi Arabia,17.2770312150761,21.0,23.057173074011853
Paw Patrol,South Korea,64.05372883123518,24,31.680781676047552
Mickey Mouse,Japan,95.34279767160722,36,132.0416258159877
Tom and Jerry,India,52.30053627284082,145.5,37.81507365827358
Doraemon,Nigeria,57.6651674714184,94.5,6.488471973399737
Peppa Pig,,36.397649633124075,27,85.89103457704927
SpongeBob SquarePants,Italy,37.280816673786134,16.5,241.88839177925075
Motu Patlu,Japan,20.067115345295583,43,25.015815361803337
Paw Patrol,India,54.15451999487257,93,1520.225390246397
Paw Patrol,USA,27.98252708690363,34,52.45616263071166
Shinchan,Mexico,43.49828784349853,35,85.2404568730733
Pokemon,Australia,10.897283371843802,62,123.73422791703648
Motu Patlu,Germany,4.032980810866338,46,71.40458243022604
Tom and Jerry,Russia,9.472527699204713,33.0,7.105249264887419
Shinchan,Japan,90.24960819332814,21,84.8802680306603
Peppa Pig,South Africa,17.280721183078917,28,45.15513163401898
Pokemon,USA,41.92348211963311,72,298.24392137858206
Pokemon,Saudi Arabia,17.981587369786922,33,243.77474161405763
Peppa Pig,UK,53.36895645878103,99,99.64281280213926
Tom and Jerry,Spain,70.05608033514183,115.5,94.88848209854314
Tom and Jerry,Canada,47.79889881661794,124.5,13.918465016299075
Doraemon,China,86.06694665915508,78.0,66.55181572708457
Mickey Mouse,Italy,69.3560398292543,50,177.91819626758178
Doraemon,Mexico,56.74827548293974,67.5,96.78563687597762
Shinchan,Brazil,82.16618054283099,98,45.21636347568159
Shinchan,Russia,88.45519975872274,53,38.15940946371426
Mr Bean,USA,95.16621314341207,26,16.929544996220788
Peppa Pig,South Korea,88.97532704040437,17,97.4654436469707
Motu Patlu,Mexico,15.35899345167342,59,82.56583340123298
Motu Patlu,UK,48.90968121206573,16,39.36518458502918
Pokemon,France,69.64709510465596,90,163.81035478378857
Paw Patrol,South Africa,29.88521090072024,96,57.55077359188386
Pokemon,Australia,42.337489931559944,60,247.30151776437597
Shinchan,Egypt,45.815718112261514,94,52.73363903453111
Shinchan,UK,88.01357846250323,38,49.072894436346736
Peppa Pig,Mexico,23.757929391630718,39,3.003055970733916
Shinchan,Germany,82.58233317797506,58,9.839398179990294
Paw Patrol,Nigeria,70.95693983643895,72,3.8658677726983828
Pokemon,Australia,50.51263749371638,20,74.85561409311464
Paw Patrol,France,28.506937643476192,25,78.20318337922426
Mickey Mouse,India,17.320065648214477,33,242.11041405105948
Mickey Mouse,Australia,82.43108214706636,18,299.8305258208481
Motu Patlu,Japan,32.51370702795058,88,89.34500597041234
Peppa Pig,China,99.74690995782959,58,73.93647747856811
Mr Bean,South Africa,50.731485560681534,89,18.932449922596074
Tom and Jerry,Japan,87.14322321644818,70.5,58.97149882548347
Peppa Pig,Australia,38.16692198055871,11,15.927066658430993
Pokemon,Brazil,63.10327722626952,86,137.2598088848425
Shinchan,South Korea,38.33164200534607,30,95.05679293270137
Doraemon,Spain,50.33364786853692,19.5,30.52202309591974
Tom and Jerry,Spain,90.68942361936375,10.5,72.98971398549581
SpongeBob SquarePants,Mexico,53.473343419384044,16.5,197.10958266502354
Paw Patrol,Australia,30.11164547567923,89,62.656979903264336
Peppa Pig,UK,77.79589165970229,30,41.56586682230061
Pokemon,Japon,66.902193050164,16,25.289319447416013
Motu Patlu,Brazil,36.02146640538878,59,10.404848562727448
Tom and Jerry,UAE,37.26221532744488,28.5,96.26868308482564
Tom and Jerry,USA,10.371310573836945,99.0,68.16092048867134
Tom and Jerry,South Korea,65.49735688733901,136.5,74.61875741994568
Paw Patrol,UK,48.19296773206404,87,84.06426910174895
Tom and Jerry,South Africa,49.16479611444012,60.0,23.047945793711104
Peppa Pig,Russia,74.52389646572843,56,727.2537656761451
Paw Patrol,Russia,5.427521330556784,63,76.97422358658939
Shinchan,Italy,79.99127156435219,52,5.532032875648394
Shinchan,UK,45.70460082929889,96,75.9577848392171
Pokemon,Nigeria,53.03643475190842,60,146.4307931701701
Tom and Jerry,UAE,38.46626387437041,139.5,28.085992115655014
Mickey Mouse,Nigeria,86.0707546129158,75,62.66405745062729
Tom and Jerry,Italy,56.22802114514255,135.0,67.75010506837818
Doraemon,China,26.697826944429437,61.5,15.496410623928902
SpongeBob SquarePants,Egypt,56.12705527908106,141.0,200.35458987171216
SpongeBob SquarePants,France,86.04447384932494,49.5,212.27483346115795
Mr Bean,Japan,51.384685277457386,59,27.15971993563016
Tom and Jerry,UAE,61.560867609933,100.5,55.46585779227669
Paw Patrol,South Korea,34.94029508620356,89,36.71898464161054
Doraemon,Canada,62.1131697623634,138.0,38.75588815418861
Doraemon,Spain,48.68047091651832,132.0,51.87557531261592
Doraemon,Australia,10.392680917367015,141.0,74.39612845141788
Doraemon,Japan,25.19080009913758,51.0,41.355645071083515
Shinchan,UAE,4.551685378612591,50,11.50741864512728
Pokemon,India,13.63814603295468,74,191.31156369887614
SpongeBob SquarePants,Egypt,57.27185949433958,112.5,93.49327224780399
Paw Patrol,UAE,18.135798477365007,11,93.30461667491171
Shinchan,Saudi Arabia,12.821514659595156,17,7.911079586384746
Peppa Pig,Italy,31.32147807342941,96,44.17628254287916
Pokemon,South Africa,60.66276660708613,22,61.34028301522649
Paw Patrol,Saudi Arabia,90.63035773981832,74,54.42803456439294
Peppa Pig,Russia,36.38655580741709,35,80.84746563586195
Tom and Jerry,China,35.879553884580595,100.5,27.171354394958037
Mickey Mouse,USA,10.322501289648,86,250.95706306656587
SpongeBob SquarePants,Japan,90.72424264468196,75.0,105.47459994701953
Pokemon,France,36.222294421509105,20,126.14026447324655
Peppa Pig,India,59.23476603711332,70,57.65466062381599
Peppa Pig,Germany,60.65258979259119,66,83.2059938957238
Paw Patrol,Italy,6.884289704124469,21,21.032506359729336
Shinchan,UAE,50.33292081384595,66,90.29649081635468
Mickey Mouse,USA,93.84216278962805,53,241.97244855161028
Motu Patlu,Japan,40.86467046872152,95,1.7042938636297458
SpongeBob SquarePants,South Korea,85.49769262679285,76.5,297.56420622870246
Tom and Jerry,France,77.41944842449918,33.0,66.2690020634941
Mr Bean,Egypt,5.205279708458487,86,10.017769839631699
Mr Bean,Mexico,65.6175229854923,81,77.58723677100721
Paw Patrol,UAE,61.518998570354945,51,1.0284399136077171
Mickey Mouse,India,9.01658575951505,76,106.38428872972801
Mickey Mouse,South Korea,50.31691662538932,19,287.14267682682674
Mickey Mouse,Italy,46.07204414645122,8,79.57247015136193
SpongeBob SquarePants,Egypt,24.825760936207754,136.5,104.57188476309594
Peppa Pig,Australia,73.54290652428307,31,83.65910752653961
Shinchan,UAE,95.79930904676253,52,49.741697392716986
Paw Patrol,Saudi Arabia,42.31758674854045,9,39.97797536238739
Pokemon,Australlia,36.16023258326805,28,73.43032829474095
Mr Bean,Spain,17.988922872699586,78,81.60487574999857
Mr Bean,China,42.15206690102653,85,72.33547262293843
Mickey Mouse,Australia,62.98622123621544,47,110.01105428057879
SpongeBob SquarePants,Australia,53.84382544051023,61.5,202.938273523763
Motu Patlu,Brazil,42.18164878433451,56,8.063063739479183
Motu Patlu,Russia,74.78954984763247,62,19.204733711235015
Shinchan,UK,54.84337438182938,55,99.60535940708122
Mickey Mouse,Germany,52.674233793107994,9,258.52953877177754
Motu Patlu,Egypt,63.10475226410597,77,64.33886438841594
Shinchan,France,52.331624042525725,22,47.450597569158596
Doraemon,UAE,37.36438765270336,114.0,25.73971565934777
Shinchan,UAE,28.467685467345294,39,85.4947203157688
Motu Patlu,Italy,53.49707530597663,18,13.378881080481396
Mr Bean,South Africa,79.14247142652953,23,77.78963816053982
Mickey Mouse,Canada,24.716219110503047,30,231.98580243368605
Motu Patlu,USA,12.214151213551116,43,88.8644380283107
SpongeBob SquarePants,Saudi Arabia,0.8929855889342142,139.5,180.07504832768893
Peppa Pig,USA,70.1328140023003,21,32.35721634466867
Mr Bean,China,70.66259789280593,74,19.787807785745493
Peppa Pig,Japan,81.94185514997636,688,73.63211640244643
SpongeBob SquarePants,Egypt,68.32241825576808,36.0,98.81221185409981
Tom and Jerry,UK,57.1012181354699,133.5,62.773077915833056
Doraemon,South Africa,46.80591434316332,76.5,93.8861419122862
Motu Patlu,Germany,51.948527319073115,34,19.756580897560895
Paw Patrol,Saudi Arabia,66.52423547735437,26,55.446581190482966
SpongeBob SquarePants,Italy,63.3240822185487,69.0,170.25397673287236
Pokemon,USA,51.76093588403292,43,295.3651443190899
Motu Patlu,Saudi Arabia,3.7736300083769825,22,89.07290989632469
Peppa Pig,Italy,82.57052443848855,78,10.441041297673344
Doraemon,South Korea,86.97865141212199,132.0,92.93666341254118
SpongeBob SquarePants,Nigeria,67.36352423696113,93.0,173.8506915934728
SpongeBob SquarePants,USA,39.852703736590676,141.0,43.056616826608625
Peppa Pig,Canada,32.341164115621126,16,41.94462319411724
Motu Patlu,Russia,92.42132069034272,92,76.01564447671315
Tom and Jerry,India,30.511805005417436,70.5,54.26254033279162
Tom and Jerry,Mexico,4.348200749945896,61.5,69.95614215864623
Motu Patlu,Spain,86.74104428544813,34,51.34549288216666
Shinchan,Russia,3.975240325474838,44,39.9465819649002
Mr Bean,France,87.86772741911604,8,94.96252541794769
Mickey Mouse,Canada,42.64649970124451,82,164.04342410815002
Tom and Jerry,Nigeria,90.90020952804156,132.0,91.79409994666833
SpongeBob SquarePants,India,41.40401554196789,91.5,247.0444591980922
Tom and Jerry,UAE,61.23620214381169,51.0,36.566872118920585
SpongeBob SquarePants,South Africa,3.2229553227045793,9.0,285.2088186195051
Tom and Jerry,UAE,45.75449294417121,84.0,61.185065834208174
Peppa Pig,USA,82.70101016593499,36,40.165508466953284
Doraemon,Germany,16.64866016988619,16.5,90.46388901831003
Tom and Jerry,Egypt,45.08858548470743,120.0,89.68369581543854
Tom and Jerry,UK,8.530654403431193,147.0,51.654978696966026
SpongeBob SquarePants,China,76.91567965749464,66.0,231.28323544119996
Mr Bean ,South Africa,88.27029205371946,80,45.920109902359435
Motu Patlu,Australia,65.32768782155203,9,83.96342914346799
Tom and Jerry,UAE,96.62932638476627,76.5,10.219502494355188
Mickey Mouse,South Africa,27.441854275173338,72,65.08814114913315
Shinchan,Germany,25.966003928625003,84,13.841600617875956
Tom and Jerry,Germany,-8.116245894596588,46.5,99.89971371776295
Doraemon,France,50.66896270960092,7.5,33.99500615741906
Mr Bean,South Africa,64.56522206645748,85,86.65721070140441
Doraemon,Italy,57.73976421765483,75.0,15.781185707193178
Tom and Jerry,UAE,30.828141946543887,142.5,41.97308721835151
Mr Bean,Spain,91.33538461670587,8,90.59062426168751
Motu Patlu,UK,67.67172887378956,97,39.371233356401774
Peppa Pig,USA,74.55547251737177,44,21.774722999089633
Shinchan,UK,51.4060661959464,49,27.834157981083724
Motu Patlu,Russia,90.32924076579208,54,43.22010877579271
Pokemon,Australia,53.34849288951278,64,30.596103775626055
Pokemon,China,91.28616106767157,94,101.10740301957183
Shinchan,Brazil,57.46782580568939,56,79.87901956283412
Mickey Mouse,Canada,38.381645877703974,93,235.94125105530733
Shinchan,South Africa,32.53780942789294,61,95.63246119151694
Mickey Mouse,USA,88.72615365741244,86,227.85208206308948
Pokemon,Italy,67.95589275997142,60,274.79002062415026
Tom and Jerry,Egypt,148.9561152577623,61.5,24.288875875918816
Mickey Mouse,Brazil,38.45950576910947,58,299.24444477410987
Pokemon,China,41.58554662775453,94,129.43413876820205
SpongeBob SquarePants,India,23.674996727801854,85.5,174.17664888493786
Peppa Pig,China,85.93506588315097,40,8.74522559204937
Shinchan,Saudi Arabia,34.354617100233774,65,90.69945305924122
Motu Patlu,UAE,56.37062732908363,65,57.71313954972005
Pokemon,France,27.52171148200212,99,54.86031275472828
Motu Patlu,Brazil,34.2847995341358,23,82.35065300957024
Pokemon,Saudi Arabia,64.22610973149202,19,140.81243362596038
Mr Bean,South Africa,43.47343296696472,62,32.25317384462437
SpongeBob SquarePants,France,9.82767884086364,82.5,203.56146238356828
Tom and Jerry,Indea,9.769875947582918,93.0,72.79981494729522
Peppa Pig,UAE,11.997710977782583,21,76.62191885776686
Tom and Jerry,Japan,27.638356215774362,135.0,33.01700865087153
SpongeBob SquarePants,France,97.94219801469616,82.5,149.14101645502333
Pokemon,Japan,77.72371653160606,68,193.17957497580116
Mickey Mouse,South Africa,72.77674211631494,13,3.982286007507805
SpongeBob SquarePants,USA,9.066697482284425,72.0,139.51288806538705
Mickey Mouse,Mexico,35.92611215003099,85,59.27095520170819
Mickey Mouse,Germany,81.17780867912417,7,19.64817256705777
Paw Patrol,Egypt,92.48158117535223,23,2.88723768033641
Doraemon,Germany,61.122588940478394,19.5,11.526788825569954
Mickey Mouse,Mexico,57.5967010452485,32,179.14632015313168
SpongeBob SquarePants,Saudi Arabia,84.73667102470593,37.5,147.62934002261318
Motu Patlu,South Africa,63.982570373229485,57,18.28034466090247
Shinchan,Spain,19.19028618746088,17,86.41037494951259
Mr Bean,China,47.44128398412081,90,6.348733818838168
Pokemon,Egypt,48.50613960244038,35,179.03387869290447
Shinchan,South Korea,22.066275830216487,67,44.15064099691202
Pokemon,France,69.22105295111673,22,141.26368578670872
Tom and Jerry,UAE,55.275563787671935,85.5,49.432126457674094
Mickey Mouse,Italy,92.74796813113363,78,127.07824044760062
Mickey Mouse,UK,55.84869664391777,98,67.74792610418396
Motu Patlu,Saudi Arabia,45.48407976609516,95,79.19601256611666
Shinchan,Nigeria,26.978938056569525,74,21.507496267419242
Paw Patrol,USA,61.913345039542264,27,70.78249226237524
Paw Patrol,Saudi Arabia,75.31734983996802,46,27.468427381314566
Pokemon,South Africa,53.28554652590394,84,202.97202445397897
Pokemon,Brazil,10.936492059205627,94,47.697926460750104
Paw Patrol,South Korea,29.151679716304436,34,52.44242781268455
Pokemon,Egypt,13.195425196202038,26,70.35423561796698
Motu Patlu,Brazil,97.32060892534207,93,79.65127074863757
Pokemon,Egypt,97.80225630391166,62,51.29148959735002
Tom and Jerry,Unknown,70.54513565864924,63.0,75.66200392014002
Pokemon,South Africa,55.0959990299315,56,68.4483448449812
Paw Patrol,France,84.94513887573635,16,40.047937678177306
SpongeBob SquarePants,South Korea,28.465036559790523,93.0,29.016793378155363
Motu Patlu,South Korea,83.55115323303644,23,47.98669987060025
Mickey Mouse,France,71.02470067733252,22,250.18826579589808
Peppa Pig,Russia,15.402396964041154,86,47.78157575647172
Mr Bean,South Africa,74.55655735862217,77,26.533242241826713
Peppa Pig,Saudi Arabia,87.83172644174326,25,36.75518134632622
Shinchan,Brazil,16.713592070126783,45,68.81174797704699
Peppa Pig,China,48.48990247547217,25,16.3009365561225
Paw Patrol,UK,11.656565084192705,7,31.845773118838807
SpongeBob SquarePants,UK,14.235933637654153,31.5,294.3895415689474
Pokemon,UK,59.317617162514644,37,92.58880421722804
Peppa Pig,Spain,74.61980129915847,79,16.895176266570907
Shinchan,Nigeria,28.18567914647866,-7,92.12724061992266
Shinchan,Mexico,40.75779699746182,45,11.921299960114283
Doraemon,Mexico,31.200691079383002,91.5,41.320939829709694
Pokemon,India,10.517188456930038,89,38.40769963398699
Tom and Jerry,Italy,40.42890304532808,88.5,28.573314895606657
Mickey Mouse,Mexico,14.737409925460476,20,150.6903132912075
Shinchan,Brazil,15.273665117288083,17,66.44697983867947
Pokemon,Italy,1.7670392636809362,60,38.382830254272164
Tom and Jerry,Germany,43.06811178810018,81.0,11.82881729540725
Pokemon,USA,97.08707584276624,50,87.47794925558108
Peppa Pig,Italy,99.19455227059578,12,25.51377916505624
Motu Patlu,Egypt,86.33685217982011,58,69.89988915249921
Peppa Pig,Australia,76.49039005293514,83,96.9733475235337
Paw Patrol,Germany,22.58859770340642,16,58.24113155438474
Mickey Mouse,Germany,66.3456697314587,58,188.61427116442218
Paw Patrol,Australia,93.81029938704916,86,61.82780748922146
Paw Patrol,Canada,30.027567479105286,45,91.20264194442574
Tom and Jerry,Mexico,2.7704173666138976,66.0,56.4226760427506
Tom and Jerry,France,85.25210175084499,100.5,6.477400013050548
Mickey Mouse,Japan,84.27502672415983,78,280.08182787769175
Motu Patlu,UAE,32.92859109665018,54,74.65193844108185
Motu Patlu,Saudi Arabia,69.96177282088316,74,68.59110630592943
SpongeBob SquarePants,UAE,79.89413212302944,135.0,167.1601872835531
Shinchan,Russia,39.29755682312502,37,93.69591805672692
Pokemon,South Korea,8.009455966351753,67,125.64951160676532
